subhood,daily_avg,daily_sd,id
Fort Dupont,1.3,0.6,139
Foggy Bottom,8.6,8.9,141
Fairlawn,2.1,1.1,143
Fairfax Village,1.0,0.0,144
Ellipse,1.0,0.0,145
Edgewood,8.7,5.0,146
Eckington,11.4,5.5,147
Kenilworth,1.0,0.0,148
East Potomac Park,1.0,0.0,150
Dupont Circle,7.7,6.2,151
Douglas,1.0,0.2,152
Carver Langston,5.1,2.2,165
Deanwood,2.3,1.1,153
Dalecarlia Reservoir,1.0,0.0,154
Crestwood,3.7,1.7,157
Congress Heights,1.5,0.6,159
Columbia Heights,13.4,6.4,160
Colonial Village,1.1,0.3,161
Buena Vista,1.7,0.9,171
Cleveland Park,6.4,2.7,162
Cathedral Heights,6.1,3.0,164
Bloomingdale,7.2,4.0,177
Capitol Hill,21.9,6.0,166
Capital City Market,2.4,1.6,167
Buzzard Point,1.0,0.2,168
Burrville,1.0,0.1,169
Burleith,2.1,1.4,170
Brookland,6.2,3.0,172
Brightwood Park,1.9,1.0,173
Benning,2.0,1.1,178
Brightwood,4.5,2.5,174
Brentwood,3.8,2.1,175
West End,3.4,3.0,192
Woodridge,5.2,2.0,179
Barnaby Woods,1.8,1.0,180
Arboretum,1.3,0.6,181
Walter Reed Medical Center,1.0,0.0,194
Anacostia,2.4,1.3,184
American University Park,10.0,2.7,185
American University,1.4,0.7,186
16th Street Heights,13.1,5.6,187
The Capitol Grounds,1.2,0.4,202
Wesley Heights,3.8,2.3,188
Woodley Park,5.1,2.7,189
Woodland,1.0,0.0,190
Wakefield,3.0,1.9,195
U Street,7.4,5.2,198
Twining,1.5,0.7,199
Truxton Circle,2.9,1.6,200
Trinidad,7.5,3.3,201
Skyland,1.2,0.4,207
Tenleytown,7.1,4.5,203
Takoma,5.9,2.8,204
Sibley Hospital,1.0,0.0,208
Spring Valley,4.8,2.0,205
Sheridan-Kalorama,3.1,1.5,209
Shepherd Park,3.9,2.0,210
Shaw,6.1,3.7,211
Rock Creek Park (south),1.3,0.5,212
Rock Creek Park (north),1.3,0.5,213
Rock Creek Gardens,1.2,0.4,214
Rock Creek Cemetery,1.0,0.0,215
River Terrace,1.7,0.9,216
Randle Highlands,1.4,0.7,217
Stafford-Albemarle-Glebe,0.0,0.0,256
Gulf Branch,0.0,0.0,258
Riverwood,0.0,0.0,261
Forest Glen,0.0,0.0,266
Brentwood Railyard,0.0,0.0,11
Fort Mahan Park,0.0,0.0,16
Fort Davis Park,0.0,0.0,22
Pope Branch Park,0.0,0.0,23
West Potomac Park,0.0,0.0,74
Anacostia River Islands,0.0,0.0,63
D.C. General Hospital and Prison,0.0,0.0,156
Anacostia River,0.0,0.0,182
Ivy City Railyard,0.0,0.0,10
Fort Totten Park,0.0,0.0,12
St. Elizabeths Hospital East,0.0,0.0,5
Poplar Point,0.0,0.0,21
Normanstone Parkway,0.0,0.0,32
Dumbarton Oaks Park,0.0,0.0,34
GWU-MV,0.0,0.0,37
DHS,0.0,0.0,39
Woodlawn/Payne Cemetery,0.0,0.0,44
Hains Point,0.0,0.0,50
Washington Hebrew Congregation Cemetery,0.0,0.0,53
Oxon Run Parkway,0.0,0.0,52
Joint Base Anacostia Bolling Naval Research Laboratory,0.0,0.0,60
Pepco Benning Road Plant,0.0,0.0,61
Washington Monument Grounds,0.0,0.0,73
Navy Yard,0.0,0.0,91
Tidal Basin,0.0,0.0,75
Old Soldiers Home,0.0,0.0,82
Langston Golf Course,0.0,0.0,110
Lafayette Square,0.0,0.0,113
Knox Hill,0.0,0.0,114
Garfield Heights,0.0,0.0,131
DC Village,0.0,0.0,155
Blue Plains,0.0,0.0,176
Washington Hospital Center,0.0,0.0,193
Anacostia Park,0.0,0.0,183
White House Grounds,0.0,0.0,191
Union Station,0.0,0.0,197
Soapstone Valley Park,0.0,0.0,206
