Width,Height,Color,Text
20,20,l0r0,0
20,20,l0r1, 1 - 3 
20,20,l0r2, 3 - 6 
20,20,l0r3, 6 - 10 
20,20,l0r4, 10 - 13 
20,20,l0r5, 13 - 16 
20,20,l0r6, 16 - 20 
20,20,l0r7, 20 - 22 
